"Date","Price","Open","High","Low","Change %"
"Aug 15, 2021","1,627.402","1,626.644","1,627.402","1,626.644","0.08%"
"Aug 08, 2021","1,626.076","1,625.303","1,626.076","1,625.303","0.08%"
"Aug 01, 2021","1,624.727","1,623.956","1,624.727","1,623.956","0.08%"
"Jul 25, 2021","1,623.469","1,622.695","1,623.469","1,622.695","0.08%"
"Jul 18, 2021","1,622.092","1,621.307","1,622.092","1,621.307","0.08%"
"Jul 11, 2021","1,620.738","1,619.971","1,620.738","1,619.971","0.08%"
"Jul 04, 2021","1,619.394","1,618.622","1,619.394","1,618.622","0.08%"
"Jun 27, 2021","1,618.047","1,617.271","1,618.047","1,617.271","0.08%"
"Jun 20, 2021","1,616.695","1,615.880","1,616.695","1,615.880","0.09%"
"Jun 13, 2021","1,615.275","1,614.460","1,615.275","1,614.460","0.09%"
"Jun 06, 2021","1,613.807","1,612.924","1,613.807","1,612.924","0.10%"
"May 30, 2021","1,612.253","1,611.326","1,612.253","1,611.326","0.10%"
"May 23, 2021","1,610.706","1,609.813","1,610.706","1,609.813","0.09%"
"May 16, 2021","1,609.180","1,608.294","1,609.180","1,608.294","0.14%"
"May 09, 2021","1,607.010","1,606.805","1,607.010","1,606.805","0.05%"
"May 02, 2021","1,606.202","1,605.345","1,606.202","1,605.345","0.09%"
"Apr 25, 2021","1,604.679","1,603.852","1,604.679","1,603.852","0.09%"
"Apr 18, 2021","1,603.293","1,602.452","1,603.293","1,602.452","0.10%"
"Apr 11, 2021","1,601.627","1,600.975","1,601.627","1,600.975","0.08%"
"Apr 04, 2021","1,600.310","1,599.455","1,600.310","1,599.455","0.11%"
"Mar 28, 2021","1,598.580","1,598.052","1,598.580","1,598.052","0.07%"
"Mar 21, 2021","1,597.399","1,596.535","1,597.399","1,596.535","0.09%"
"Mar 14, 2021","1,595.910","1,595.084","1,595.910","1,595.084","0.09%"
"Mar 07, 2021","1,594.479","1,593.688","1,594.479","1,593.688","0.09%"
"Feb 28, 2021","1,593.093","1,592.297","1,593.093","1,592.297","0.09%"
