"Date","Price","Open","High","Low","Change %"
"Mar 13, 2022","1,544.900","1,546.090","1,546.090","1,542.930","-0.06%"
"Mar 06, 2022","1,545.840","1,551.310","1,551.310","1,541.490","-0.86%"
"Feb 27, 2022","1,559.290","1,565.780","1,565.780","1,559.290","-0.35%"
"Feb 20, 2022","1,564.790","1,564.170","1,564.790","1,564.170","0.14%"
"Feb 13, 2022","1,562.630","1,558.380","1,562.630","1,558.380","0.27%"
"Feb 06, 2022","1,558.400","1,556.590","1,559.580","1,556.590","0.14%"
"Jan 30, 2022","1,556.230","1,556.070","1,557.430","1,556.070","0.15%"
"Jan 23, 2022","1,553.840","1,555.140","1,555.140","1,552.800","-0.02%"
"Jan 16, 2022","1,554.180","1,556.390","1,556.690","1,554.180","-0.11%"
"Jan 09, 2022","1,555.830","1,550.930","1,555.830","1,550.930","0.24%"
"Jan 02, 2022","1,552.160","1,556.800","1,557.540","1,552.160","-2.82%"
"Dec 26, 2021","1,597.160","1,597.840","1,597.930","1,596.860","0.01%"
"Dec 19, 2021","1,597.030","1,589.930","1,597.030","1,589.930","0.62%"
"Dec 12, 2021","1,587.150","1,592.780","1,592.780","1,585.550","-0.39%"
"Dec 05, 2021","1,593.320","1,584.410","1,594.620","1,584.410","0.24%"
"Nov 28, 2021","1,589.520","1,603.710","1,603.710","1,589.520","-1.00%"
"Nov 21, 2021","1,605.540","1,606.560","1,607.330","1,605.540","-0.08%"
"Nov 14, 2021","1,606.880","1,604.720","1,606.880","1,604.720","0.16%"
"Nov 07, 2021","1,604.330","1,603.470","1,605.470","1,603.470","0.32%"
"Oct 31, 2021","1,599.220","1,597.020","1,599.220","1,596.290","0.11%"
"Oct 24, 2021","1,597.470","1,596.240","1,599.580","1,596.240","0.23%"
"Oct 17, 2021","1,593.780","1,593.580","1,594.720","1,592.880","-0.01%"
"Oct 10, 2021","1,593.960","1,583.260","1,593.960","1,583.260","0.65%"
"Oct 03, 2021","1,583.660","1,587.180","1,590.170","1,583.660","-0.37%"
"Sep 26, 2021","1,589.490","1,598.940","1,598.940","1,589.490","-0.57%"
"Sep 19, 2021","1,598.530","1,606.680","1,606.680","1,598.530","-0.56%"
"Sep 12, 2021","1,607.610","1,606.340","1,609.100","1,606.340","0.13%"
"Sep 05, 2021","1,605.510","1,606.660","1,606.660","1,602.160","0.05%"
"Aug 29, 2021","1,604.750","1,598.780","1,607.810","1,598.780","0.69%"
"Aug 22, 2021","1,593.740","1,569.270","1,596.580","1,569.270","1.54%"
"Aug 15, 2021","1,569.600","1,567.600","1,571.500","1,567.600","0.28%"
"Aug 08, 2021","1,565.200","1,573.720","1,573.720","1,565.200","-0.66%"
"Aug 01, 2021","1,575.670","1,573.640","1,578.230","1,573.640","0.26%"
